epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.844,0.74844,2.23838,1.2505,0.40112,0.50211,0.44335,0.23951,1.1496,2.86264,1.96888,0.000546704,0.000546704,0.000546704
2,316.718,0.90896,1.9655,1.37626,0.34385,0.5645,0.32677,0.16798,1.26618,3.60721,2.15093,0.00108054,0.00108054,0.00108054
3,463.607,0.98456,1.96496,1.44608,0.37618,0.49773,0.38239,0.18718,1.55325,3.25616,2.37918,0.00159238,0.00159238,0.00159238
4,621.219,1.03815,1.92789,1.47432,0.17884,0.34204,0.16817,0.06112,1.99427,3.20041,2.82362,0.00156798,0.00156798,0.00156798
5,764.612,1.04422,1.87287,1.47771,0.42932,0.4911,0.43854,0.23203,1.39677,2.57242,2.24385,0.00153497,0.00153497,0.00153497
6,907.259,1.0454,1.82721,1.46967,0.35623,0.51622,0.38009,0.16955,1.59874,2.5517,2.36299,0.00150197,0.00150197,0.00150197
7,1045.95,1.03861,1.77485,1.4575,0.41928,0.52316,0.40623,0.20291,1.42228,2.28463,2.09852,0.00146896,0.00146896,0.00146896
8,1185.71,0.99271,1.69643,1.42335,0.47289,0.587,0.50414,0.25646,1.37459,2.09024,2.14098,0.00143595,0.00143595,0.00143595
9,1325.23,0.92373,1.61261,1.37439,0.48079,0.62821,0.53085,0.31683,1.31291,1.90394,2.04899,0.00140295,0.00140295,0.00140295
10,1463.83,1.00385,1.68128,1.42555,0.40832,0.67478,0.48776,0.2942,1.25869,2.09064,1.91316,0.00136994,0.00136994,0.00136994
11,1602.34,0.89912,1.54006,1.3555,0.50588,0.62441,0.56739,0.31033,1.31304,1.98272,1.93658,0.00133693,0.00133693,0.00133693
12,1740.17,0.90127,1.53426,1.35669,0.64131,0.53467,0.60865,0.36347,1.22814,1.75964,1.90054,0.00130393,0.00130393,0.00130393
13,1877.79,0.86985,1.47705,1.34313,0.5874,0.52473,0.57541,0.32063,1.29914,1.78891,1.9523,0.00127092,0.00127092,0.00127092
14,2016.27,0.88985,1.48929,1.35647,0.4375,0.4499,0.43022,0.23702,1.33695,2.10312,1.94562,0.00123791,0.00123791,0.00123791
